Time (ms),Distance (mm),Velocity (mm/s)
28616.0,0,189.0,0.0
28631.0,0,187.0,-133.333
28643.0,0,200.0,1083.333
28663.0,0,185.0,-750.0
28724.0,0,191.0,98.36
28743.0,0,192.0,52.631
28783.0,0,181.0,-275.0
28802.0,0,187.0,315.789
28822.0,0,209.0,1100.0
28841.0,0,184.0,-1315.789
28885.0,0,189.0,113.636
28907.0,0,194.0,227.272
28926.0,0,182.0,-631.578
28946.0,0,187.0,250.0
29005.0,0,194.0,118.644
29027.0,0,194.0,0.0
29046.0,0,198.0,210.526
29066.0,0,194.0,-200.0
29086.0,0,194.0,0.0
29105.0,0,193.0,-52.631
29125.0,0,187.0,-300.0
29145.0,0,192.0,250.0
29181.0,0,197.0,138.888
29200.0,0,194.0,-157.894
29220.0,0,194.0,0.0
29239.0,0,198.0,210.526
29259.0,0,198.0,0.0
29340.0,0,199.0,12.345
29359.0,0,183.0,-842.105
29379.0,0,194.0,550.0
29399.0,0,177.0,-850.0
29419.0,0,186.0,450.0
29460.0,0,197.0,268.292
29497.0,0,192.0,-135.135
29517.0,0,199.0,350.0
29536.0,0,187.0,-631.578
29556.0,0,192.0,250.0
29617.0,0,181.0,-180.327
29697.0,100,182.0,12.5
29814.0,100,191.0,76.923
29931.0,100,181.0,-85.47
29979.0,100,204.0,479.166
30107.0,100,181.0,-179.687
30156.0,100,200.0,387.755
30224.0,100,198.0,-29.411
30373.0,100,205.0,46.979
30422.0,100,201.0,-81.632
30482.0,100,208.0,116.666
30542.0,100,190.0,-300.0
30670.0,100,191.0,7.812
30787.0,100,204.0,111.111
30904.0,100,193.0,-94.017
30952.0,100,205.0,250.0
31046.0,100,214.0,95.744
31140.0,100,195.0,-202.127
31454.0,100,208.0,41.401
31549.0,100,195.0,-136.842
31814.0,100,210.0,56.603
32230.0,100,243.0,79.326
32398.0,100,304.0,363.095
32492.0,100,391.0,925.531
32640.0,0,322.0,-466.216
32698.0,0,302.0,-344.827
32736.0,0,311.0,236.842
32780.0,0,292.0,-431.818
32792.0,0,268.0,-2000.0
32815.0,0,243.0,-1086.956
32887.0,0,202.0,-569.444
32927.0,0,168.0,-850.0
32947.0,0,233.0,3250.0
32973.0,0,210.0,-884.615
32985.0,0,166.0,-3666.666
33030.0,0,134.0,-711.111
33041.0,0,117.0,-1545.454
33100.0,0,97.0,-338.983
33138.0,0,56.0,-1078.947
33182.0,0,64.0,181.818
33194.0,0,48.0,-1333.333
33235.0,0,31.0,-414.634
33275.0,0,18.0,-325.0
33295.0,0,0.0,-900.0
33321.0,0,0.0,0.0
33333.0,0,0.0,0.0
33359.0,0,0.0,0.0
33371.0,0,0.0,0.0
33416.0,0,0.0,0.0
33442.0,0,0.0,0.0
33454.0,0,0.0,0.0
33499.0,0,0.0,0.0
33510.0,0,0.0,0.0
33587.0,0,0.0,0.0
33627.0,0,0.0,0.0
