Time (ms),Distance (mm),PWM
23893.0,1560.0,75,1560.0
23898.0,1560.0,75,1560.0
23910.0,1560.0,75,1560.0
23927.0,1566.0,75,1564.682
23932.0,1566.0,75,1564.682
23946.0,1566.0,75,1564.682
23958.0,1566.0,75,1564.682
23969.0,1566.0,75,1564.682
23979.0,1566.0,75,1564.682
23987.0,1566.0,75,1564.682
23998.0,1566.0,75,1564.682
24009.0,1566.0,75,1564.682
24020.0,1566.0,75,1564.682
24031.0,1566.0,75,1564.682
24042.0,1566.0,75,1564.682
24053.0,1566.0,75,1564.682
24061.0,1576.0,76,1574.92
24070.0,1576.0,76,1574.92
24081.0,1576.0,76,1574.92
24086.0,1576.0,76,1574.92
24092.0,1576.0,76,1574.92
24103.0,1576.0,76,1574.92
24112.0,1576.0,76,1574.92
24123.0,1576.0,76,1574.92
24134.0,1576.0,76,1574.92
24145.0,1576.0,76,1574.92
24155.0,1576.0,76,1574.92
24171.0,1576.0,76,1574.92
24193.0,1576.0,76,1574.92
24205.0,1576.0,76,1574.92
24213.0,1576.0,76,1574.92
24224.0,1576.0,76,1574.92
24235.0,1576.0,76,1574.92
24250.0,1576.0,76,1574.92
24262.0,1576.0,76,1574.92
24273.0,1576.0,76,1574.92
24281.0,1576.0,76,1574.92
24292.0,1576.0,76,1574.92
24303.0,1576.0,76,1574.92
24314.0,1576.0,76,1574.92
24324.0,1576.0,76,1574.92
24336.0,1576.0,76,1574.92
24347.0,1576.0,76,1574.92
24358.0,1576.0,76,1574.92
24369.0,1576.0,76,1574.92
24375.0,1576.0,76,1574.92
24383.0,1576.0,76,1574.92
24396.0,1550.0,75,1558.598
24406.0,1550.0,75,1558.598
24421.0,1550.0,75,1558.598
24443.0,1550.0,75,1558.598
24455.0,1550.0,75,1558.598
24463.0,1550.0,75,1558.598
24474.0,1550.0,75,1558.598
24485.0,1550.0,75,1558.598
24496.0,1550.0,75,1558.598
24506.0,1550.0,75,1558.598
24515.0,1550.0,75,1558.598
24526.0,1550.0,75,1558.598
24537.0,1550.0,75,1558.598
24548.0,1550.0,75,1558.598
24558.0,1550.0,75,1558.598
24567.0,1550.0,75,1558.598
24578.0,1550.0,75,1558.598
24589.0,1550.0,75,1558.598
24604.0,1550.0,75,1558.598
24616.0,1550.0,75,1558.598
24627.0,1550.0,75,1558.598
24643.0,1550.0,75,1558.598
24665.0,1550.0,75,1558.598
24676.0,1550.0,75,1558.598
24692.0,1550.0,75,1558.598
24703.0,1550.0,75,1558.598
24712.0,1550.0,75,1558.598
24717.0,1550.0,75,1558.598
24725.0,1550.0,75,1558.598
24728.0,1550.0,75,1558.598
24734.0,1550.0,75,1558.598
24744.0,1550.0,75,1558.598
24755.0,1550.0,75,1558.598
24766.0,1550.0,75,1558.598
24773.0,1550.0,75,1558.598
24784.0,1550.0,75,1558.598
24791.0,1550.0,75,1558.598
24799.0,1550.0,75,1558.598
24811.0,1550.0,75,1558.598
24822.0,1550.0,75,1558.598
24833.0,1550.0,75,1558.598
24848.0,1550.0,75,1558.598
24860.0,1550.0,75,1558.598
24871.0,1550.0,75,1558.598
24882.0,1550.0,75,1558.598
24893.0,1550.0,75,1558.598
24904.0,1550.0,75,1558.598
24916.0,1550.0,75,1558.598
24929.0,1486.0,72,1506.56
24938.0,1486.0,72,1506.56
24944.0,1486.0,72,1506.56
24952.0,1486.0,72,1506.56
24964.0,1486.0,72,1506.56
24975.0,1486.0,72,1506.56
24990.0,1486.0,72,1506.56
25012.0,1486.0,72,1506.56
25024.0,1486.0,72,1506.56
25032.0,1486.0,72,1506.56
25043.0,1486.0,72,1506.56
25054.0,1486.0,72,1506.56
25066.0,1454.0,70,1470.781
25075.0,1454.0,70,1470.781
25084.0,1454.0,70,1470.781
25095.0,1454.0,70,1470.781
25106.0,1454.0,70,1470.781
25117.0,1454.0,70,1470.781
25127.0,1454.0,70,1470.781
25136.0,1454.0,70,1470.781
25147.0,1454.0,70,1470.781
25162.0,1454.0,70,1470.781
25184.0,1454.0,70,1470.781
25196.0,1454.0,70,1470.781
25204.0,1454.0,70,1470.781
25215.0,1454.0,70,1470.781
25226.0,1454.0,70,1470.781
25237.0,1454.0,70,1470.781
25247.0,1454.0,70,1470.781
25256.0,1454.0,70,1470.781
25267.0,1454.0,70,1470.781
25272.0,1454.0,70,1470.781
25280.0,1454.0,70,1470.781
25292.0,1454.0,70,1470.781
25300.0,1454.0,70,1470.781
25315.0,1454.0,70,1470.781
25322.0,1454.0,70,1470.781
25333.0,1454.0,70,1470.781
25340.0,1454.0,70,1470.781
25348.0,1454.0,70,1470.781
25360.0,1454.0,70,1470.781
25371.0,1454.0,70,1470.781
25382.0,1454.0,70,1470.781
25393.0,1454.0,70,1470.781
25403.0,1454.0,70,1470.781
25412.0,1454.0,70,1470.781
25423.0,1454.0,70,1470.781
25438.0,1454.0,70,1470.781
25460.0,1454.0,70,1470.781
25470.0,1454.0,70,1470.781
25480.0,1454.0,70,1470.781
25491.0,1454.0,70,1470.781
25502.0,1454.0,70,1470.781
25513.0,1454.0,70,1470.781
25523.0,1454.0,70,1470.781
25532.0,1454.0,70,1470.781
25543.0,1454.0,70,1470.781
25554.0,1454.0,71,1470.781
25565.0,1454.0,71,1470.781
25575.0,1454.0,71,1470.781
25584.0,1454.0,71,1470.781
25595.0,1454.0,71,1470.781
25607.0,1454.0,71,1470.781
25617.0,1454.0,71,1470.781
