2025-04-22 14:20:01,611 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:07,677 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:07,692 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 1, 11)
2025-04-22 14:20:07,692 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(8), np.int64(5), np.int64(13)) with prob = 0.0574057
2025-04-22 14:20:07,693 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.673, -1.207, 1758.773)
2025-04-22 14:20:07,694 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:10,732 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:10,748 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 1, 11)
2025-04-22 14:20:10,749 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(10), np.int64(1), np.int64(11)) with prob = 1.0
2025-04-22 14:20:10,749 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 5.98085000008932e-12
2025-04-22 14:20:10,750 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.587, -0.902, 2208.773)
2025-04-22 14:20:10,750 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.524, -0.914, 50.000)
2025-04-22 14:20:10,751 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.063, 0.013, 2158.773)
2025-04-22 14:20:10,751 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:12,811 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:12,826 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 2, 12)
2025-04-22 14:20:12,829 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(8), np.int64(3), np.int64(13)) with prob = 0.0734534
2025-04-22 14:20:12,832 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.755, -0.226, 2147.427)
2025-04-22 14:20:12,833 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:15,865 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:15,869 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 2, 12)
2025-04-22 14:20:15,869 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(11), np.int64(3), np.int64(13)) with prob = 1.0
2025-04-22 14:20:15,870 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 1.5759177647308394e-11
2025-04-22 14:20:15,870 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.673, -0.518, 2597.427)
2025-04-22 14:20:15,870 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.829, -0.305, 90.000)
2025-04-22 14:20:15,871 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.156, -0.213, 2507.427)
2025-04-22 14:20:15,872 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:17,932 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:17,947 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 3, 13)
2025-04-22 14:20:17,948 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(10), np.int64(4), np.int64(15)) with prob = 0.0927212
2025-04-22 14:20:17,948 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.227, -0.167, 2473.062)
2025-04-22 14:20:17,949 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:21,942 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:21,956 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 3, 13)
2025-04-22 14:20:21,957 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(11), np.int64(3), np.int64(13)) with prob = 1.0
2025-04-22 14:20:21,958 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 1.8646334170899155e-25
2025-04-22 14:20:21,958 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.751, -0.167, 2963.062)
2025-04-22 14:20:21,959 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.829, -0.305, 90.000)
2025-04-22 14:20:21,960 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.078, 0.138, 2873.062)
2025-04-22 14:20:21,961 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:25,033 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:25,048 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 5, 14)
2025-04-22 14:20:25,049 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(10), np.int64(5), np.int64(14)) with prob = 0.0819565
2025-04-22 14:20:25,049 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.237, 0.020, 2875.699)
2025-04-22 14:20:25,050 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:28,110 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:28,123 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 5, 14)
2025-04-22 14:20:28,124 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(11), np.int64(5), np.int64(14)) with prob = 0.9968425
2025-04-22 14:20:28,124 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.009863201276124433
2025-04-22 14:20:28,125 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.761, 0.325, 3345.986)
2025-04-22 14:20:28,126 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.829, 0.305, 110.000)
2025-04-22 14:20:28,128 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.067, 0.020, 3235.986)
2025-04-22 14:20:28,128 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:31,206 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:31,221 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 6, 16)
2025-04-22 14:20:31,221 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(11), np.int64(6), np.int64(0)) with prob = 0.1745830
2025-04-22 14:20:31,222 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.061, 0.045, 3555.133)
2025-04-22 14:20:31,222 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:34,259 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:34,262 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 6, 16)
2025-04-22 14:20:34,263 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(11), np.int64(7), np.int64(16)) with prob = 1.0
2025-04-22 14:20:34,263 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.0015486165345523842
2025-04-22 14:20:34,264 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.768, 0.655, 3745.133)
2025-04-22 14:20:34,264 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.829, 0.914, 150.000)
2025-04-22 14:20:34,265 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.061, -0.259, 3595.133)
2025-04-22 14:20:34,265 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:36,331 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:36,345 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (10, 7, 16)
2025-04-22 14:20:36,345 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(9), np.int64(6), np.int64(0)) with prob = 0.0643313
2025-04-22 14:20:36,346 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.139, 0.331, 3926.213)
2025-04-22 14:20:36,347 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:39,375 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:39,378 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (10, 7, 16)
2025-04-22 14:20:39,378 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(10), np.int64(7), np.int64(16)) with prob = 1.0
2025-04-22 14:20:39,379 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.04908207128296589
2025-04-22 14:20:39,379 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.358, 0.941, 4116.404)
2025-04-22 14:20:39,380 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.524, 0.914, 150.000)
2025-04-22 14:20:39,380 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.166, 0.026, 3966.404)
2025-04-22 14:20:39,381 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:42,439 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:42,454 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 6, 3)
2025-04-22 14:20:42,455 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(7), np.int64(5), np.int64(3)) with prob = 0.0673820
2025-04-22 14:20:42,456 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.148, 0.557, 4321.497)
2025-04-22 14:20:42,457 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:45,514 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:45,529 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 6, 3)
2025-04-22 14:20:45,529 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(7), np.int64(7), np.int64(3)) with prob = 1.0
2025-04-22 14:20:45,530 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.0005667468256855025
2025-04-22 14:20:45,530 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.462, 0.862, 4572.643)
2025-04-22 14:20:45,531 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.610, 0.914, -110.000)
2025-04-22 14:20:45,531 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.148, -0.053, 4682.643)
2025-04-22 14:20:45,532 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:47,599 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:47,613 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (6, 4, 5)
2025-04-22 14:20:47,614 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(5), np.int64(6), np.int64(4)) with prob = 0.0576680
2025-04-22 14:20:47,614 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.271, -0.358, 4707.725)
2025-04-22 14:20:47,615 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:50,684 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:50,698 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 4, 5)
2025-04-22 14:20:50,698 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(6), np.int64(5), np.int64(5)) with prob = 1.0
2025-04-22 14:20:50,699 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00216266730576619
2025-04-22 14:20:50,699 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.271, 0.252, 4978.489)
2025-04-22 14:20:50,700 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.305, 0.305, -70.000)
2025-04-22 14:20:50,700 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.034, -0.053, 5048.489)
2025-04-22 14:20:50,701 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:52,768 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:52,782 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (6, 3, 2)
2025-04-22 14:20:52,782 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(6), np.int64(3), np.int64(4)) with prob = 0.0765076
2025-04-22 14:20:52,783 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.284, 0.261, 4999.746)
2025-04-22 14:20:52,784 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:55,850 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:55,867 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 3, 2)
2025-04-22 14:20:55,868 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(5), np.int64(3), np.int64(2)) with prob = 1.0
2025-04-22 14:20:55,868 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.012015286549863688
2025-04-22 14:20:55,869 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.012, -0.054, 5269.746)
2025-04-22 14:20:55,869 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.000, -0.305, -130.000)
2025-04-22 14:20:55,870 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.012, 0.251, 5399.746)
2025-04-22 14:20:55,871 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:20:58,939 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:20:58,956 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (4, 3, 1)
2025-04-22 14:20:58,956 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(5), np.int64(4), np.int64(1)) with prob = 0.1275120
2025-04-22 14:20:58,957 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.360, -0.201, 5397.014)
2025-04-22 14:20:58,958 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:21:02,018 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:21:02,023 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (4, 3, 1)
2025-04-22 14:21:02,023 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(4), np.int64(3), np.int64(1)) with prob = 1.0
2025-04-22 14:21:02,024 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 1.9943684395974095e-16
2025-04-22 14:21:02,024 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (-0.360, -0.201, 5607.205)
2025-04-22 14:21:02,025 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (-0.305, -0.305, -150.000)
2025-04-22 14:21:02,025 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.055, 0.104, 5757.205)
2025-04-22 14:21:02,026 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:21:05,091 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:21:05,107 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (3, 3, 0)
2025-04-22 14:21:05,107 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(5), np.int64(4), np.int64(17)) with prob = 0.2871762
2025-04-22 14:21:05,107 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.753, -0.191, 5414.091)
2025-04-22 14:21:05,108 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:21:08,177 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:21:08,193 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (3, 3, 0)
